
set 24, 2018 20:08:32.84 NEW SESSION
set 25, 2018 19:07:24.00 [10084:8872:0925/190724.003:ERROR:connection_factory_impl.cc(396)] Failed to connect to MCS endpoint with error -21
set 25, 2018 19:12:24.01 [10084:8872:0925/191224.010:ERROR:connection_factory_impl.cc(396)] Failed to connect to MCS endpoint with error -21
set 25, 2018 19:17:31.98 [10084:8872:0925/191731.983:ERROR:connection_factory_impl.cc(396)] Failed to connect to MCS endpoint with error -21
set 25, 2018 19:20:39.50 [10084:8872:0925/192039.508:ERROR:connection_factory_impl.cc(396)] Failed to connect to MCS endpoint with error -21
set 25, 2018 19:24:51.00 [10084:8872:0925/192451.002:ERROR:connection_factory_impl.cc(396)] Failed to connect to MCS endpoint with error -21
set 25, 2018 19:25:45.93 [10084:1072:0925/192545.930:ERROR:CONSOLE(6)] "Uncaught ReferenceError: gbar is not defined", source: https://clients5.google.com/pagead/drt/dn/ (6)
set 25, 2018 19:33:08.52 [10084:1072:0925/193308.529:ERROR:CONSOLE(6)] "Uncaught ReferenceError: gbar is not defined", source: https://clients5.google.com/pagead/drt/dn/ (6)
set 25, 2018 19:34:01.50 [10084:8872:0925/193401.500:ERROR:connection_factory_impl.cc(396)] Failed to connect to MCS endpoint with error -21
set 25, 2018 19:44:24.50 [10084:8872:0925/194424.507:ERROR:connection_factory_impl.cc(396)] Failed to connect to MCS endpoint with error -21
set 25, 2018 19:48:32.03 [10084:8872:0925/194832.031:ERROR:connection_factory_impl.cc(396)] Failed to connect to MCS endpoint with error -21
set 25, 2018 19:54:30.99 [10084:8872:0925/195430.995:ERROR:connection_factory_impl.cc(396)] Failed to connect to MCS endpoint with error -21
set 25, 2018 19:56:52.89 [10084:1072:0925/195652.897:ERROR:CONSOLE(6)] "Uncaught ReferenceError: gbar is not defined", source: https://clients5.google.com/pagead/drt/dn/ (6)
set 25, 2018 19:59:38.50 [10084:8872:0925/195938.500:ERROR:connection_factory_impl.cc(396)] Failed to connect to MCS endpoint with error -21
set 25, 2018 20:03:42.50 [10084:8872:0925/200342.503:ERROR:connection_factory_impl.cc(396)] Failed to connect to MCS endpoint with error -21
set 25, 2018 20:06:54.00 [10084:8872:0925/200654.001:ERROR:connection_factory_impl.cc(396)] Failed to connect to MCS endpoint with error -21
set 25, 2018 20:09:54.00 [10084:8872:0925/200954.002:ERROR:connection_factory_impl.cc(396)] Failed to connect to MCS endpoint with error -21
set 25, 2018 20:15:05.50 [10084:8872:0925/201505.505:ERROR:connection_factory_impl.cc(396)] Failed to connect to MCS endpoint with error -21
set 25, 2018 20:16:26.40 [10084:8872:0925/201626.403:ERROR:ssl_client_socket_impl.cc(1050)] handshake failed; returned -1, SSL error code 1, net_error -100
set 25, 2018 20:16:31.34 [10084:8872:0925/201631.345:ERROR:ssl_client_socket_impl.cc(1050)] handshake failed; returned -1, SSL error code 1, net_error -100
set 25, 2018 20:19:09.01 [10084:8872:0925/201909.010:ERROR:connection_factory_impl.cc(396)] Failed to connect to MCS endpoint with error -21
set 25, 2018 20:24:13.02 [10084:8872:0925/202413.022:ERROR:connection_factory_impl.cc(396)] Failed to connect to MCS endpoint with error -21
set 25, 2018 20:26:17.00 [10084:8872:0925/202617.001:ERROR:connection_factory_impl.cc(396)] Failed to connect to MCS endpoint with error -21
set 25, 2018 20:28:17.60 [10084:8872:0925/202817.599:ERROR:extension_protocols.cc(565)] Allowing load of chrome-extension://cfhdojbkjhnklbpkdaibdccddilifddb/include.preload.js.mapfrom unknown origin. Could not find user data for request.
set 25, 2018 20:28:17.61 [10084:8872:0925/202817.606:ERROR:extension_protocols.cc(565)] Allowing load of chrome-extension://cfhdojbkjhnklbpkdaibdccddilifddb/include.postload.js.mapfrom unknown origin. Could not find user data for request.
set 25, 2018 20:28:21.00 [10084:8872:0925/202821.002:ERROR:connection_factory_impl.cc(396)] Failed to connect to MCS endpoint with error -21
set 25, 2018 20:28:24.92 [10084:8872:0925/202824.919:ERROR:extension_protocols.cc(565)] Allowing load of chrome-extension://cfhdojbkjhnklbpkdaibdccddilifddb/include.preload.js.mapfrom unknown origin. Could not find user data for request.
set 25, 2018 20:28:25.14 [10084:8872:0925/202825.141:ERROR:extension_protocols.cc(565)] Allowing load of chrome-extension://cfhdojbkjhnklbpkdaibdccddilifddb/include.postload.js.mapfrom unknown origin. Could not find user data for request.
set 25, 2018 20:29:20.82 [10084:8872:0925/202920.826:ERROR:extension_protocols.cc(565)] Allowing load of chrome-extension://cfhdojbkjhnklbpkdaibdccddilifddb/include.preload.js.mapfrom unknown origin. Could not find user data for request.
set 25, 2018 20:29:21.03 [10084:8872:0925/202921.030:ERROR:extension_protocols.cc(565)] Allowing load of chrome-extension://cfhdojbkjhnklbpkdaibdccddilifddb/include.postload.js.mapfrom unknown origin. Could not find user data for request.
set 25, 2018 20:31:24.51 [10084:8872:0925/203124.517:ERROR:connection_factory_impl.cc(396)] Failed to connect to MCS endpoint with error -21
set 25, 2018 20:34:32.51 [10084:8872:0925/203432.510:ERROR:connection_factory_impl.cc(396)] Failed to connect to MCS endpoint with error -21
set 25, 2018 20:41:33.57 [10084:8872:0925/204133.570:ERROR:extension_protocols.cc(565)] Allowing load of chrome-extension://cfhdojbkjhnklbpkdaibdccddilifddb/include.postload.js.mapfrom unknown origin. Could not find user data for request.
set 25, 2018 20:41:33.60 [10084:8872:0925/204133.580:ERROR:extension_protocols.cc(565)] Allowing load of chrome-extension://cfhdojbkjhnklbpkdaibdccddilifddb/include.preload.js.mapfrom unknown origin. Could not find user data for request.
set 25, 2018 20:41:40.01 [10084:8872:0925/204140.008:ERROR:connection_factory_impl.cc(396)] Failed to connect to MCS endpoint with error -21
set 25, 2018 20:41:48.43 [10084:8872:0925/204148.431:ERROR:extension_protocols.cc(565)] Allowing load of chrome-extension://cfhdojbkjhnklbpkdaibdccddilifddb/include.preload.js.mapfrom unknown origin. Could not find user data for request.
set 25, 2018 20:41:49.41 [10084:8872:0925/204149.413:ERROR:extension_protocols.cc(565)] Allowing load of chrome-extension://cfhdojbkjhnklbpkdaibdccddilifddb/include.postload.js.mapfrom unknown origin. Could not find user data for request.
set 25, 2018 20:42:13.99 [10084:8872:0925/204213.990:ERROR:extension_protocols.cc(565)] Allowing load of chrome-extension://cfhdojbkjhnklbpkdaibdccddilifddb/include.preload.js.mapfrom unknown origin. Could not find user data for request.
set 25, 2018 20:42:14.60 [10084:8872:0925/204214.608:ERROR:extension_protocols.cc(565)] Allowing load of chrome-extension://cfhdojbkjhnklbpkdaibdccddilifddb/include.postload.js.mapfrom unknown origin. Could not find user data for request.
set 25, 2018 20:42:54.74 [10084:8872:0925/204254.740:ERROR:extension_protocols.cc(565)] Allowing load of chrome-extension://cfhdojbkjhnklbpkdaibdccddilifddb/include.preload.js.mapfrom unknown origin. Could not find user data for request.
set 25, 2018 20:42:55.53 [10084:8872:0925/204255.538:ERROR:extension_protocols.cc(565)] Allowing load of chrome-extension://cfhdojbkjhnklbpkdaibdccddilifddb/include.postload.js.mapfrom unknown origin. Could not find user data for request.
set 25, 2018 20:43:05.08 [10084:8872:0925/204305.086:ERROR:extension_protocols.cc(565)] Allowing load of chrome-extension://cfhdojbkjhnklbpkdaibdccddilifddb/include.preload.js.mapfrom unknown origin. Could not find user data for request.
set 25, 2018 20:43:05.48 [10084:8872:0925/204305.481:ERROR:extension_protocols.cc(565)] Allowing load of chrome-extension://cfhdojbkjhnklbpkdaibdccddilifddb/include.postload.js.mapfrom unknown origin. Could not find user data for request.
set 25, 2018 20:43:07.29 [10084:8872:0925/204307.297:ERROR:extension_protocols.cc(565)] Allowing load of chrome-extension://cfhdojbkjhnklbpkdaibdccddilifddb/include.preload.js.mapfrom unknown origin. Could not find user data for request.
set 25, 2018 20:43:07.63 [10084:8872:0925/204307.631:ERROR:extension_protocols.cc(565)] Allowing load of chrome-extension://cfhdojbkjhnklbpkdaibdccddilifddb/include.postload.js.mapfrom unknown origin. Could not find user data for request.
set 25, 2018 20:43:46.65 [10084:8872:0925/204346.656:ERROR:extension_protocols.cc(565)] Allowing load of chrome-extension://cfhdojbkjhnklbpkdaibdccddilifddb/include.preload.js.mapfrom unknown origin. Could not find user data for request.
set 25, 2018 20:43:47.00 [10084:8872:0925/204347.008:ERROR:extension_protocols.cc(565)] Allowing load of chrome-extension://cfhdojbkjhnklbpkdaibdccddilifddb/include.postload.js.mapfrom unknown origin. Could not find user data for request.
set 25, 2018 20:44:54.93 [10084:8872:0925/204454.935:ERROR:extension_protocols.cc(565)] Allowing load of chrome-extension://cfhdojbkjhnklbpkdaibdccddilifddb/include.preload.js.mapfrom unknown origin. Could not find user data for request.
set 25, 2018 20:44:55.33 [10084:8872:0925/204455.338:ERROR:extension_protocols.cc(565)] Allowing load of chrome-extension://cfhdojbkjhnklbpkdaibdccddilifddb/include.postload.js.mapfrom unknown origin. Could not find user data for request.
set 25, 2018 20:44:59.27 [10084:8872:0925/204459.269:ERROR:extension_protocols.cc(565)] Allowing load of chrome-extension://cfhdojbkjhnklbpkdaibdccddilifddb/include.preload.js.mapfrom unknown origin. Could not find user data for request.
set 25, 2018 20:44:59.74 [10084:8872:0925/204459.739:ERROR:extension_protocols.cc(565)] Allowing load of chrome-extension://cfhdojbkjhnklbpkdaibdccddilifddb/include.postload.js.mapfrom unknown origin. Could not find user data for request.
set 25, 2018 20:46:08.00 [10084:8872:0925/204608.005:ERROR:connection_factory_impl.cc(396)] Failed to connect to MCS endpoint with error -21
set 25, 2018 20:49:55.01 [10084:8872:0925/204955.013:ERROR:extension_protocols.cc(565)] Allowing load of chrome-extension://cfhdojbkjhnklbpkdaibdccddilifddb/include.preload.js.mapfrom unknown origin. Could not find user data for request.
set 25, 2018 20:49:55.07 [10084:8872:0925/204955.078:ERROR:extension_protocols.cc(565)] Allowing load of chrome-extension://cfhdojbkjhnklbpkdaibdccddilifddb/include.postload.js.mapfrom unknown origin. Could not find user data for request.
set 25, 2018 20:50:12.01 [10084:8872:0925/205012.012:ERROR:connection_factory_impl.cc(396)] Failed to connect to MCS endpoint with error -21
set 25, 2018 20:50:26.39 [10084:8872:0925/205026.397:ERROR:extension_protocols.cc(565)] Allowing load of chrome-extension://cfhdojbkjhnklbpkdaibdccddilifddb/include.preload.js.mapfrom unknown origin. Could not find user data for request.
set 25, 2018 20:50:26.42 [10084:8872:0925/205026.424:ERROR:extension_protocols.cc(565)] Allowing load of chrome-extension://cfhdojbkjhnklbpkdaibdccddilifddb/include.postload.js.mapfrom unknown origin. Could not find user data for request.
set 25, 2018 20:51:00.77 [10084:8872:0925/205100.770:ERROR:extension_protocols.cc(565)] Allowing load of chrome-extension://cfhdojbkjhnklbpkdaibdccddilifddb/include.preload.js.mapfrom unknown origin. Could not find user data for request.
set 25, 2018 20:51:00.80 [10084:8872:0925/205100.795:ERROR:extension_protocols.cc(565)] Allowing load of chrome-extension://cfhdojbkjhnklbpkdaibdccddilifddb/include.postload.js.mapfrom unknown origin. Could not find user data for request.
set 25, 2018 20:51:02.34 [10084:8872:0925/205102.346:ERROR:extension_protocols.cc(565)] Allowing load of chrome-extension://cfhdojbkjhnklbpkdaibdccddilifddb/include.preload.js.mapfrom unknown origin. Could not find user data for request.
set 25, 2018 20:51:02.38 [10084:8872:0925/205102.371:ERROR:extension_protocols.cc(565)] Allowing load of chrome-extension://cfhdojbkjhnklbpkdaibdccddilifddb/include.postload.js.mapfrom unknown origin. Could not find user data for request.
set 25, 2018 20:51:12.30 [10084:8872:0925/205112.308:ERROR:extension_protocols.cc(565)] Allowing load of chrome-extension://cfhdojbkjhnklbpkdaibdccddilifddb/include.preload.js.mapfrom unknown origin. Could not find user data for request.
set 25, 2018 20:51:13.47 [10084:8872:0925/205113.475:ERROR:extension_protocols.cc(565)] Allowing load of chrome-extension://cfhdojbkjhnklbpkdaibdccddilifddb/include.postload.js.mapfrom unknown origin. Could not find user data for request.
set 25, 2018 20:51:15.92 [10084:8872:0925/205115.922:ERROR:extension_protocols.cc(565)] Allowing load of chrome-extension://cfhdojbkjhnklbpkdaibdccddilifddb/include.preload.js.mapfrom unknown origin. Could not find user data for request.
set 25, 2018 20:51:16.23 [10084:8872:0925/205116.237:ERROR:extension_protocols.cc(565)] Allowing load of chrome-extension://cfhdojbkjhnklbpkdaibdccddilifddb/include.postload.js.mapfrom unknown origin. Could not find user data for request.
set 25, 2018 20:54:47.00 [10084:8872:0925/205447.007:ERROR:connection_factory_impl.cc(396)] Failed to connect to MCS endpoint with error -21
set 25, 2018 20:57:09.81 [10460:6048:0925/205709.805:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:09.88 [10460:6048:0925/205709.805:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:10.04 [10460:6048:0925/205709.805:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:10.11 [10460:6048:0925/205709.805:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:10.17 [10460:6048:0925/205709.805:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:10.21 [10460:6048:0925/205709.805:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:10.24 [10460:6048:0925/205709.805:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:10.29 [10460:6048:0925/205709.805:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:10.35 [10460:6048:0925/205709.805:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:10.39 [10460:6048:0925/205709.805:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:10.45 [10460:6048:0925/205709.805:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:10.48 [10460:6048:0925/205709.805:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:10.50 [10460:6048:0925/205709.805:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:10.52 [10460:6048:0925/205709.805:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:10.53 [10460:6048:0925/205709.805:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:10.54 [10460:6048:0925/205709.805:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:10.55 [10460:6048:0925/205709.805:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:10.56 [10460:6048:0925/205709.805:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:10.57 [10460:6048:0925/205709.805:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:10.58 [10460:6048:0925/205709.805:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:10.60 [10460:6048:0925/205709.805:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:10.61 [10460:6048:0925/205709.805:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:10.68 [10460:6048:0925/205709.805:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:10.73 [10460:6048:0925/205709.805:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:10.75 [10460:6048:0925/205709.805:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:10.79 [10460:6048:0925/205709.806:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:10.81 [10460:6048:0925/205709.806:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:10.83 [10460:6048:0925/205709.806:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:10.84 [10460:6048:0925/205709.806:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:10.87 [10460:6048:0925/205709.806:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:10.90 [10460:6048:0925/205709.806:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:10.93 [10460:6048:0925/205709.806:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:10.96 [10460:6048:0925/205709.806:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:10.97 [10460:6048:0925/205709.806:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:10.98 [10460:6048:0925/205709.806:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:10.99 [10460:6048:0925/205709.806:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:11.00 [10460:6048:0925/205709.806:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:11.01 [10460:6048:0925/205709.812:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:11.02 [10460:6048:0925/205709.812:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:11.03 [10460:6048:0925/205709.812:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:11.11 [10460:6048:0925/205709.812:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:11.17 [10460:6048:0925/205709.812:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:11.20 [10460:6048:0925/205709.812:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:11.26 [10460:6048:0925/205709.812:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:11.28 [10460:6048:0925/205709.812:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:11.29 [10460:6048:0925/205709.813:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:11.30 [10460:6048:0925/205709.813:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:11.31 [10460:6048:0925/205709.813:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:11.33 [10460:6048:0925/205709.813:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:11.35 [10460:6048:0925/205709.813:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:11.36 [10460:6048:0925/205709.813:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:11.40 [10460:6048:0925/205709.813:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:11.41 [10460:6048:0925/205709.813:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:11.43 [10460:6048:0925/205709.813:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:11.46 [10460:6048:0925/205709.813:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:11.50 [10460:6048:0925/205709.813:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:11.52 [10460:6048:0925/205709.813:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:11.55 [10460:6048:0925/205709.813:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:11.58 [10460:6048:0925/205709.813:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 20:57:31.82 [10460:9408:0925/205731.829:ERROR:connection_factory_impl.cc(396)] Failed to connect to MCS endpoint with error -118
set 25, 2018 21:00:46.00 [10460:9408:0925/210046.002:ERROR:connection_factory_impl.cc(396)] Failed to connect to MCS endpoint with error -21
set 25, 2018 21:02:19.46 [10460:9408:0925/210219.465:ERROR:ssl_client_socket_impl.cc(1050)] handshake failed; returned -1, SSL error code 1, net_error -100

set 25, 2018 21:41:02.90 NEW SESSION
set 25, 2018 21:41:02.90 [7268:5132:0925/214102.897:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 21:41:03.00 [7268:5132:0925/214102.897:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 21:41:03.10 [7268:5132:0925/214102.897:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 21:41:03.21 [7268:5132:0925/214102.897:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 21:41:03.25 [7268:5132:0925/214102.897:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 21:41:03.29 [7268:5132:0925/214102.897:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 21:41:03.33 [7268:5132:0925/214102.897:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 21:41:03.41 [7268:5132:0925/214102.897:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 21:41:03.45 [7268:5132:0925/214102.897:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 21:41:03.49 [7268:5132:0925/214102.897:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 21:41:03.51 [7268:5132:0925/214102.897:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 21:41:03.53 [7268:5132:0925/214102.897:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 21:41:03.56 [7268:5132:0925/214102.897:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 21:41:03.58 [7268:5132:0925/214102.897:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 21:41:03.59 [7268:5132:0925/214102.897:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 21:41:03.60 [7268:5132:0925/214102.897:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 21:41:03.62 [7268:5132:0925/214102.897:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 21:41:03.64 [7268:5132:0925/214102.897:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 21:41:03.70 [7268:5132:0925/214102.897:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 21:41:03.75 [7268:5132:0925/214102.898:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 21:41:03.77 [7268:5132:0925/214102.898:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 21:41:03.81 [7268:5132:0925/214102.898:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 21:41:03.84 [7268:5132:0925/214102.898:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 21:41:03.87 [7268:5132:0925/214102.898:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 21:41:03.88 [7268:5132:0925/214102.898:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 21:41:03.90 [7268:5132:0925/214102.898:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 21:41:03.91 [7268:5132:0925/214102.898:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 21:41:03.93 [7268:5132:0925/214102.898:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 21:41:03.99 [7268:5132:0925/214102.898:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 21:41:04.01 [7268:5132:0925/214102.898:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 21:41:04.03 [7268:5132:0925/214102.898:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 21:41:04.08 [7268:5132:0925/214102.898:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 21:41:04.09 [7268:5132:0925/214102.898:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 21:41:04.11 [7268:5132:0925/214102.898:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 21:41:04.12 [7268:5132:0925/214102.898:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 21:41:04.14 [7268:5132:0925/214102.898:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 21:41:04.18 [7268:5132:0925/214102.898:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 21:41:04.20 [7268:5132:0925/214102.898:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 21:41:04.22 [7268:5132:0925/214102.898:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
set 25, 2018 21:41:04.24 [7268:5132:0925/214102.898:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
